inputfile,mcc,auc,balance,fmeasure,precision,pd,pf
ant-1.3.csv,0.430962288,0.782619048,0.736096858,0.502792308,0.356799867,0.89,0.324761905
camel-1.0.csv,0.141986089,0.676892774,0.546462255,0.109916305,0.05827792,0.993333333,0.639547786
jedit-3.2.csv,0.548830686,0.780750751,0.765915417,0.704365339,0.656371868,0.783333333,0.221831832
log4j-1.0.csv,0.485244147,0.749952381,0.712793967,0.610579614,0.580331557,0.71,0.210095238
xalan-2.4.csv,0.278072765,0.691647523,0.641337201,0.38224449,0.24627752,0.862727273,0.479432227
EQ.csv,0.536555356,0.772338461,0.765172714,0.732297058,0.675188392,0.804676923,0.26
JDT.csv,0.544105484,0.788489368,0.769779575,0.64199136,0.594862308,0.703135889,0.126157153
ML.csv,0.333620044,0.738719094,0.722395754,0.407449882,0.274346123,0.804897959,0.327459771
PDE.csv,0.297639212,0.702626611,0.69730605,0.401097016,0.28430568,0.686689896,0.281436673
CM1.arff,0.273891559,0.699356725,0.606986773,0.334868798,0.20392702,0.948888889,0.550175439
MW1.arff,0.284261003,0.723777778,0.681070077,0.333553265,0.217793698,0.736,0.288444444
PC1.arff,0.285092437,0.753777185,0.711438932,0.292048674,0.176315699,0.872727273,0.365172903
PC3.arff,0.35724267,0.768052224,0.728142148,0.402323237,0.259536391,0.899230769,0.363126322
PC4.arff,0.397081349,0.784388127,0.738431442,0.446764025,0.294755391,0.92684127,0.358065016
Safe.arff,0.468681233,0.712142857,0.650666464,0.646776557,0.713,0.65,0.225714286
Zxing.arff,0.246792099,0.632910537,0.626992997,0.50164626,0.426242313,0.615326087,0.349505013
ar1.csv,0.193639481,0.68256917,0.582882385,0.208853014,0.11859674,0.92,0.55486166
ar3.csv,0.523424409,0.822727273,0.782933863,0.560476191,0.483333333,0.8,0.154545454
ar4.csv,0.471592472,0.754215686,0.721373166,0.572701854,0.523525974,0.7,0.191568627
ar5.csv,0.722855281,0.9,0.863146087,0.762,0.666666667,0.98,0.18
ar6.csv,0.297582599,0.689836601,0.620422927,0.400982889,0.288024809,0.786666667,0.406993464
