inputfile,mcc,auc,balance,fmeasure,precision,pd,pf,final ratio
ant-1.3.csv,0.448313467,0.778690476,0.747857403,0.529101225,0.412103841,0.785,0.227619048,0.338560829
camel-1.0.csv,0.188747012,0.657132867,0.57635347,0.204029637,0.143206942,0.43,0.115734266,0.11098665
jedit-3.2.csv,0.549462609,0.771358859,0.750853443,0.694340086,0.706656194,0.698888889,0.156171171,0.393965421
log4j-1.0.csv,0.552674569,0.73747619,0.665367922,0.608688005,0.812781385,0.541904762,0.066952381,0.323232861
xalan-2.4.csv,0.334731805,0.6725365,0.608427572,0.433412715,0.428517024,0.462727273,0.117654272,0.248864703
EQ.csv,0.548464496,0.778220513,0.7563571,0.742462362,0.64922005,0.8708,0.314358974,0.545069325
JDT.csv,0.54869512,0.759228422,0.70562775,0.631322065,0.685431427,0.590998838,0.072541995,0.284236766
ML.csv,0.333170218,0.669322103,0.592296711,0.417064073,0.418823089,0.433877551,0.095233345,0.234242206
PDE.csv,0.349194302,0.654673039,0.552319791,0.420505072,0.493826946,0.370116144,0.060770066,0.185960337
CM1.arff,0.259768665,0.661600877,0.597870291,0.348054412,0.288329216,0.569166667,0.245964912,0.26403577
MW1.arff,0.479346975,0.730666667,0.652333759,0.524409812,0.560095238,0.512,0.050666667,0.151348725
PC1.arff,0.35581969,0.630725865,0.491901882,0.365610323,0.556793651,0.281818182,0.020366452,0.092367546
PC3.arff,0.352351488,0.74827296,0.725154723,0.416947081,0.291627116,0.773846154,0.277300235,0.258910696
PC4.arff,0.470117519,0.679005443,0.563960065,0.486026447,0.73106844,0.38452381,0.026512923,0.170055764
Safe.arff,0.459621455,0.705619048,0.626088663,0.613518926,0.720690476,0.596,0.184761905,0.470696968
Zxing.arff,0.221615786,0.614750463,0.589237136,0.46667297,0.425665389,0.559275362,0.329774436,0.444421162
ar1.csv,0.308333031,0.685928854,0.607153642,0.358380952,0.322,0.49,0.118142293,0.141167464
ar3.csv,0.677669083,0.864545455,0.841318555,0.72,0.676666667,0.8,0.070909091,0.186945972
ar4.csv,0.518981878,0.727156863,0.652353213,0.564515152,0.734952381,0.53,0.075686275,0.251057388
ar5.csv,0.678504567,0.855,0.831478583,0.741333333,0.693333333,0.84,0.13,0.326147661
ar6.csv,0.289451601,0.661013072,0.57228081,0.370011655,0.363525974,0.5,0.177973856,0.261292841
