inputfile,mcc,auc,balance,fmeasure,precision,pd,pf
ant-1.3.csv,0.446872273,0.770119048,0.738997612,0.532526303,0.427074259,0.765,0.224761905
camel-1.0.csv,0.221366753,0.754916084,0.717933134,0.18912205,0.109784729,0.763333333,0.253501166
jedit-3.2.csv,0.502438475,0.758033033,0.743262222,0.67541068,0.622992678,0.761111111,0.245045045
log4j-1.0.csv,0.526545233,0.761142857,0.7181541,0.63091408,0.64806377,0.671428572,0.149142857
xalan-2.4.csv,0.354354692,0.723332546,0.711264724,0.458475409,0.351751774,0.668181818,0.221516727
EQ.csv,0.533534595,0.770846154,0.752245444,0.734267031,0.648537776,0.850923077,0.309230769
JDT.csv,0.523172172,0.732647801,0.660792214,0.595313744,0.710001563,0.525203252,0.059907651
ML.csv,0.312688207,0.677125029,0.625561527,0.412161862,0.358779767,0.488571429,0.13432137
PDE.csv,0.347771182,0.670806088,0.591033047,0.435858424,0.447148179,0.4285482,0.086936024
CM1.arff,0.24329608,0.676820175,0.628491623,0.332322089,0.21844131,0.770833333,0.417192982
MW1.arff,0.345334016,0.717111111,0.682579778,0.413284975,0.330640415,0.588,0.153777778
PC1.arff,0.335357106,0.67084956,0.570767291,0.38189623,0.390750685,0.396363636,0.054664516
PC3.arff,0.372773437,0.776818517,0.738829229,0.416578437,0.272848403,0.890769231,0.337132197
PC4.arff,0.453319068,0.734104953,0.680145481,0.523043112,0.520573917,0.567555556,0.09934565
Safe.arff,0.433995637,0.702142857,0.640522492,0.658041125,0.626406926,0.75,0.345714286
Zxing.arff,0.231709942,0.625264111,0.608443161,0.506217914,0.393066016,0.716449276,0.465921053
ar1.csv,0.233598478,0.718596838,0.618715426,0.233765509,0.138955267,0.91,0.472806324
ar3.csv,0.536750138,0.800454546,0.754160121,0.59179021,0.540858586,0.71,0.109090909
ar4.csv,0.418467017,0.703382353,0.640347286,0.508039183,0.557031746,0.525,0.118235294
ar5.csv,0.723539031,0.893333333,0.855285548,0.765333333,0.678333333,0.98,0.193333333
ar6.csv,0.27627476,0.663169935,0.580739219,0.366550394,0.331518315,0.533333333,0.206993464
