inputfile,mcc,auc,balance,fmeasure,precision,pd,pf
ant-1.3.csv,0.359118051,0.73,0.692853602,0.460127898,0.339988289,0.76,0.3
camel-1.0.csv,0.152153834,0.696703963,0.632804764,0.129173551,0.07034632,0.836666667,0.443258741
jedit-3.2.csv,0.526807316,0.774039039,0.757894886,0.694210669,0.615068723,0.815555555,0.267477477
log4j-1.0.csv,0.423275149,0.731047619,0.697348571,0.576318951,0.483838245,0.761904762,0.299809524
xalan-2.4.csv,0.326858526,0.72547896,0.688176946,0.417600696,0.277275668,0.857272727,0.406314807
EQ.csv,0.576052659,0.79234359,0.769586179,0.75746446,0.664084573,0.8852,0.300512821
JDT.csv,0.467849629,0.772501923,0.768980365,0.585034724,0.472707496,0.774030197,0.229026351
ML.csv,0.30651152,0.723288824,0.704358227,0.384694432,0.25229839,0.816326531,0.369748882
PDE.csv,0.252169887,0.680251931,0.6670267,0.360867667,0.237984798,0.74989547,0.389391609
CM1.arff,0.280098387,0.70751462,0.646358792,0.348179004,0.217257436,0.892222223,0.477192983
MW1.arff,0.228912711,0.680222222,0.650586949,0.299130906,0.192962441,0.692,0.331555556
PC1.arff,0.299688956,0.769667801,0.719883625,0.297034322,0.177489119,0.921818182,0.382482581
PC3.arff,0.369259765,0.775473063,0.739230507,0.41295214,0.268748983,0.897692308,0.346746181
PC4.arff,0.48083686,0.819818916,0.809954442,0.53466573,0.389640202,0.860222222,0.220584391
Safe.arff,0.470835511,0.722666667,0.668350082,0.681907759,0.640103175,0.782,0.336666667
Zxing.arff,0.294189352,0.656647597,0.614428467,0.543756846,0.407828673,0.822681159,0.509385965
ar1.csv,0.207438244,0.696363636,0.634394699,0.235138861,0.141857809,0.75,0.357272727
ar3.csv,0.396413314,0.761363636,0.703600885,0.460623376,0.352904762,0.83,0.307272727
ar4.csv,0.410889145,0.73630719,0.698808249,0.528268196,0.435678988,0.75,0.277385621
ar5.csv,0.583061697,0.801666667,0.765188747,0.665333333,0.633333333,0.76,0.156666667
ar6.csv,0.256246882,0.671666667,0.60377021,0.36368792,0.240037851,0.8,0.456666667
