inputfile,mcc,auc,balance,fmeasure,precision,pd,pf,final ratio
ant-1.3.csv,0.464156282,0.759166667,0.719333807,0.545579865,0.490103175,0.665,0.146666667,0.234837676
camel-1.0.csv,0.169962853,0.637738928,0.534107379,0.183956643,0.143400929,0.396666667,0.121188811,0.098746492
jedit-3.2.csv,0.492566915,0.734542042,0.695373299,0.638396301,0.69914582,0.612222222,0.143138138,0.359227257
log4j-1.0.csv,0.449652803,0.7055,0.642961575,0.552987031,0.656715507,0.534761905,0.123761905,0.292158993
xalan-2.4.csv,0.337829789,0.694206923,0.655978255,0.439151576,0.387778164,0.549090909,0.160677063,0.199096335
EQ.csv,0.562873792,0.784194872,0.774356272,0.743394767,0.699981076,0.801723077,0.233333333,0.453262123
JDT.csv,0.50176222,0.787186992,0.784091745,0.610894996,0.507335301,0.771916376,0.197542393,0.282904616
ML.csv,0.364645517,0.745470756,0.741796863,0.445177161,0.322682188,0.724081633,0.233140122,0.226428487
PDE.csv,0.266605801,0.687271847,0.681234416,0.375087638,0.255192135,0.711579559,0.337035864,0.261654889
CM1.arff,0.263231324,0.691871345,0.652060195,0.348559022,0.227362007,0.791111111,0.407368421,0.338066003
MW1.arff,0.415285995,0.713111111,0.64067822,0.466889721,0.474914863,0.5,0.073777778,0.117775572
PC1.arff,0.315068163,0.627419355,0.490441759,0.337306012,0.460304806,0.28,0.02516129,0.085528679
PC3.arff,0.360432562,0.755038688,0.745510417,0.426151006,0.296190718,0.772307692,0.262230317,0.225529232
PC4.arff,0.465956117,0.726437899,0.658729835,0.519127203,0.576691773,0.529301587,0.076425789,0.190983905
Safe.arff,0.455540009,0.704428572,0.614121481,0.577281718,0.689174603,0.566,0.157142857,0.410238429
Zxing.arff,0.278994105,0.647892149,0.630543514,0.514102603,0.447902773,0.632971015,0.337186717,0.382077609
ar1.csv,0.184217082,0.623023716,0.512838597,0.230285714,0.189666667,0.35,0.103952569,0.103841817
ar3.csv,0.640336351,0.845909091,0.816132478,0.683333333,0.65,0.77,0.078181818,0.153063942
ar4.csv,0.432545905,0.667418301,0.558390257,0.458095238,0.723333333,0.38,0.045163399,0.18648948
ar5.csv,0.57106189,0.795,0.755760656,0.654666667,0.626666666,0.75,0.16,0.308271666
ar6.csv,0.30851526,0.673529412,0.585204548,0.384520812,0.368309524,0.473333333,0.12627451,0.170958591
